10 -1.0718e-07 -0.359931 -0.653457 -0.763028 -0.891652 -0.891203 -0.767735 -0.666423 -0.405296 -0.100339 0.0547724 0.343135 0.570723 0.652209 0.737877 0.712339 0.658082 0.476725 0.357385 0.0883409 -0.180049 -0.299335 -0.485057 -0.581593 -0.593441 -0.547007 -0.420156 -0.333813 -0.133402 0.0777866 0.177751 0.349181 0.464687 0.496855 0.506379 0.445575 
10.5 0.309017 -0.0618035 -0.406873 -0.554823 -0.777781 -0.883006 -0.861437 -0.805216 -0.61518 -0.349037 -0.199818 0.10376 0.378918 0.494001 0.660687 0.726328 0.717934 0.61988 0.533987 0.306748 0.040884 -0.091676 -0.327836 -0.496067 -0.547383 -0.57887 -0.519291 -0.45981 -0.295846 -0.0956627 0.00840688 0.205549 0.365691 0.425089 0.493725 0.491075 
11 0.587785 0.242374 -0.120461 -0.292308 -0.587775 -0.788374 -0.870815 -0.865188 -0.764846 -0.563568 -0.434849 -0.145771 0.15001 0.287355 0.517892 0.665628 0.702048 0.693846 0.649466 0.488887 0.257264 0.127436 -0.131375 -0.353002 -0.438841 -0.546597 -0.562236 -0.536469 -0.426716 -0.258305 -0.16072 0.0423106 0.231139 0.31187 0.43281 0.488534 
11.5 0.809017 0.522826 0.177742 -0.00117973 -0.340233 -0.61657 -0.794953 -0.84047 -0.839643 -0.722934 -0.627314 -0.381033 -0.0935814 0.0525735 0.324182 0.538305 0.614699 0.693791 0.693824 0.614991 0.443494 0.331756 0.0812467 -0.168082 -0.279034 -0.452347 -0.543135 -0.554596 -0.511772 -0.393212 -0.312268 -0.124082 0.0744537 0.168465 0.329684 0.438239 
12 0.951056 0.7521 0.458547 0.290064 -0.0593869 -0.384413 -0.641274 -0.733481 -0.832251 -0.811533 -0.758374 -0.578996 -0.328013 -0.187354 0.0987064 0.357842 0.46612 0.622372 0.665223 0.673279 0.57892 0.497664 0.284746 0.0372627 -0.0859438 -0.30567 -0.462808 -0.511004 -0.541095 -0.485844 -0.430265 -0.27659 -0.0885819 0.00923947 0.194615 0.345198 
12.5 1 0.907753 0.694466 0.552914 0.227272 -0.114626 -0.424823 -0.554694 -0.743391 -0.820694 -0.815198 -0.720284 -0.530336 -0.408942 -0.136434 0.142255 0.271607 0.488486 0.568818 0.660095 0.650186 0.607426 0.455499 0.238807 0.11788 -0.122844 -0.329221 -0.409374 -0.510436 -0.525633 -0.50176 -0.399225 -0.241309 -0.149673 0.0411346 0.218683 
13 0.951057 0.974549 0.862405 0.761642 0.491685 0.166381 -0.166788 -0.321609 -0.581764 -0.74952 -0.792225 -0.791065 -0.680746 -0.5905 -0.358219 -0.0872692 0.0504455 0.306246 0.41559 0.579007 0.651867 0.650858 0.574861 0.413126 0.308534 0.0750082 -0.157005 -0.260335 -0.422115 -0.507342 -0.518317 -0.478671 -0.367788 -0.2919 -0.115221 0.0713706 
13.5 0.809017 0.94595 0.945927 0.895814 0.707967 0.431101 0.107574 -0.0570433 -0.363189 -0.604978 -0.691703 -0.784412 -0.76452 -0.714255 -0.54494 -0.308252 -0.175662 0.0938865 0.221302 0.439666 0.585904 0.625482 0.631162 0.540899 0.464235 0.264811 0.0341498 -0.0805431 -0.285222 -0.432008 -0.477208 -0.505779 -0.454407 -0.402436 -0.258384 -0.0818389 
14 0.587785 0.824754 0.936854 0.942298 0.854949 0.653623 0.371405 0.213106 -0.109063 -0.401216 -0.523473 -0.700974 -0.773457 -0.768094 -0.678317 -0.499061 -0.384575 -0.12769 0.00525606 0.256678 0.460551 0.535763 0.620262 0.60915 0.568199 0.424817 0.222083 0.109323 -0.11489 -0.30725 -0.382105 -0.476791 -0.491382 -0.469197 -0.373325 -0.225236 
14.5 0.309017 0.622826 0.836076 0.896543 0.918243 0.812163 0.598881 0.462396 0.155739 -0.15818 -0.304002 -0.54892 -0.706683 -0.746747 -0.745297 -0.641018 -0.555844 -0.33677 -0.211322 0.0483802 0.289226 0.392021 0.545063 0.612154 0.610352 0.537516 0.385247 0.287348 0.0694553 -0.146714 -0.243036 -0.394091 -0.473995 -0.484427 -0.4476 -0.34383 
15 1.60769e-07 0.359931 0.653457 0.763028 0.891652 0.891203 0.767735 0.666423 0.405296 0.100339 -0.0547724 -0.343135 -0.570734 -0.652303 -0.739321 -0.720228 -0.672702 -0.512884 -0.407216 -0.164697 0.0892752 0.209246 0.414524 0.551248 0.587792 0.591567 0.505593 0.433385 0.246625 0.0314383 -0.0754531 -0.266287 -0.403414 -0.445762 -0.472758 -0.424886 
15.5 -0.309017 0.0618036 0.406873 0.554823 0.777781 0.883006 0.861437 0.805216 0.61518 0.349037 0.199818 -0.10376 -0.378918 -0.494008 -0.660976 -0.728937 -0.723712 -0.638795 -0.563249 -0.361659 -0.119503 0.00576395 0.242488 0.433992 0.504346 0.582562 0.570668 0.531623 0.39653 0.206829 0.101594 -0.107455 -0.286883 -0.356802 -0.445448 -0.459331 
16 -0.587785 -0.242374 0.120461 0.292308 0.587775 0.788374 0.870815 0.865188 0.764846 0.563568 0.434849 0.145771 -0.15001 -0.287355 -0.51793 -0.666293 -0.703879 -0.702175 -0.664147 -0.52322 -0.316602 -0.198343 0.0463603 0.27304 0.369611 0.512829 0.574647 0.57226 0.502759 0.359561 0.267922 0.0644697 -0.137127 -0.226981 -0.368056 -0.442897 
