5 5.35898e-08 0.18541 0.359931 0.517668 0.653457 0.763028 0.843137 0.891652 0.907607 0.891203 0.843779 0.765976 0.657798 0.520803 0.359966 0.183721 0.00248422 -0.173232 -0.334276 -0.473577 -0.586265 -0.669426 -0.72176 -0.743248 -0.734914 -0.698645 -0.637075 -0.553482 -0.451693 -0.335964 -0.210861 -0.0811144 0.0485332 0.173477 0.289403 0.392423 0.479204 0.547065 0.594056 0.61901 0.621566 0.602158 0.561987 0.502956 0.427588 0.338922 0.240396 0.135714 0.0287082 -0.0767954 -0.177114 -0.268835 -0.348927 -0.414842 -0.464589 -0.496796 -0.51074 -0.506359 -0.48424 -0.445581 
5.5 -0.309017 -0.123607 0.0618035 0.24068 0.406873 0.554823 0.679746 0.777781 0.846104 0.883006 0.887924 0.861437 0.80416 0.716343 0.599019 0.455587 0.292467 0.118477 -0.0565484 -0.223185 -0.37342 -0.501127 -0.602107 -0.673898 -0.715508 -0.727152 -0.710048 -0.666264 -0.598595 -0.510454 -0.40576 -0.288821 -0.164197 -0.0365589 0.0894627 0.209427 0.319225 0.415212 0.494324 0.554163 0.593071 0.610168 0.605362 0.579337 0.533509 0.469956 0.391336 0.300772 0.201737 0.0979198 -0.00690931 -0.109032 -0.204914 -0.291322 -0.365434 -0.424927 -0.468048 -0.493663 -0.501281 -0.491056 
6 -0.587785 -0.420524 -0.242374 -0.0598674 0.120461 0.292308 0.449817 0.587775 0.701778 0.788374 0.845153 0.870815 0.865188 0.828572 0.761234 0.663905 0.538914 0.391046 0.227505 0.0570729 -0.111082 -0.268485 -0.40807 -0.524492 -0.614136 -0.674959 -0.706275 -0.708538 -0.683174 -0.632426 -0.559243 -0.467153 -0.360154 -0.24258 -0.118967 0.00609073 0.128092 0.242772 0.346236 0.435089 0.506533 0.558456 0.589483 0.599011 0.587207 0.554988 0.503969 0.436389 0.355019 0.26305 0.163972 0.0614431 -0.0408421 -0.139285 -0.230507 -0.311463 -0.379541 -0.432646 -0.469256 -0.488471 
6.5 -0.809017 -0.676278 -0.522826 -0.354555 -0.177742 0.00117968 0.175857 0.340233 0.488758 0.61657 0.719652 0.794953 0.84047 0.855301 0.839263 0.792446 0.715321 0.609477 0.478418 0.32787 0.165392 -0.000492302 -0.161288 -0.309357 -0.438438 -0.543857 -0.622518 -0.672772 -0.694232 -0.687597 -0.654495 -0.597343 -0.519229 -0.423784 -0.315061 -0.197405 -0.0753075 0.0467323 0.164356 0.273484 0.370447 0.452099 0.515913 0.560055 0.583429 0.585695 0.567271 0.52929 0.473549 0.402431 0.318802 0.225904 0.127228 0.0263858 -0.0730167 -0.167511 -0.253882 -0.329278 -0.391298 -0.438073 
7 -0.951056 -0.865833 -0.7521 -0.614535 -0.458547 -0.290064 -0.115318 0.0593869 0.227894 0.384413 0.523707 0.641274 0.733481 0.797675 0.832251 0.836458 0.810051 0.753213 0.666972 0.55384 0.418258 0.266538 0.10632 -0.0542448 -0.207312 -0.345988 -0.464709 -0.559395 -0.627421 -0.667508 -0.679561 -0.664521 -0.624215 -0.561223 -0.47876 -0.380541 -0.270659 -0.153448 -0.0333399 0.0852776 0.198201 0.301549 0.391879 0.466299 0.522553 0.559078 0.575049 0.570382 0.545727 0.50242 0.442427 0.368252 0.282843 0.189474 0.091621 -0.00716163 -0.103371 -0.193678 -0.275038 -0.344794 
7.5 -1 -0.970634 -0.907753 -0.814361 -0.694466 -0.552914 -0.395204 -0.227272 -0.0552768 0.114626 0.276498 0.424823 0.554694 0.661966 0.743391 0.796707 0.820558 0.814254 0.777629 0.711235 0.616798 0.497674 0.358993 0.207389 0.0504088 -0.104224 -0.249282 -0.378538 -0.487052 -0.571274 -0.629014 -0.659342 -0.66245 -0.639509 -0.592537 -0.524271 -0.438033 -0.337609 -0.227112 -0.110849 0.00682701 0.121652 0.22959 0.326963 0.410565 0.477758 0.52655 0.555649 0.564489 0.553231 0.522745 0.474554 0.410773 0.334015 0.24729 0.153889 0.0572585 -0.0391193 -0.131854 -0.217764 
8 -0.951057 -0.980423 -0.974549 -0.934472 -0.862405 -0.761642 -0.636405 -0.491685 -0.333037 -0.166381 0.00222317 0.166788 0.321609 0.46146 0.581764 0.67874 0.74952 0.792143 0.805409 0.788741 0.742237 0.666974 0.565394 0.441553 0.301055 0.150667 -0.00226748 -0.150476 -0.287314 -0.407157 -0.505627 -0.579659 -0.627469 -0.648457 -0.643088 -0.612758 -0.559666 -0.486686 -0.39724 -0.295163 -0.184575 -0.0697336 0.0450975 0.155793 0.258495 0.349737 0.426549 0.48655 0.528009 0.549897 0.551898 0.534406 0.498495 0.445862 0.378754 0.299876 0.212283 0.119269 0.0242358 -0.0694183 
8.5 -0.809017 -0.894241 -0.94595 -0.96311 -0.945927 -0.895814 -0.815311 -0.707967 -0.578198 -0.431101 -0.272269 -0.107574 0.0570433 0.215783 0.363189 0.494334 0.604978 0.691703 0.751967 0.784032 0.786858 0.760085 0.704218 0.620924 0.513301 0.385953 0.244782 0.0965521 -0.0516649 -0.193054 -0.321516 -0.431982 -0.520588 -0.584717 -0.622961 -0.635037 -0.62167 -0.584467 -0.525798 -0.448663 -0.356563 -0.25337 -0.143188 -0.0302168 0.0813891 0.187653 0.284903 0.369891 0.439886 0.49276 0.527042 0.541956 0.537426 0.514067 0.473144 0.41651 0.346529 0.265982 0.177954 0.085723 
9 -0.587785 -0.720524 -0.824754 -0.897472 -0.936854 -0.942298 -0.914408 -0.854949 -0.76676 -0.653623 -0.52011 -0.371406 -0.213106 -0.0510166 0.109063 0.261539 0.401216 0.523473 0.624411 0.700945 0.750797 0.772433 0.765025 0.728541 0.66397 0.573569 0.461 0.331269 0.190439 0.0451766 -0.0977618 -0.232014 -0.351995 -0.453151 -0.53209 -0.586613 -0.615668 -0.619269 -0.598388 -0.554834 -0.491132 -0.410391 -0.316178 -0.212384 -0.103084 0.00759994 0.115632 0.217195 0.308812 0.387457 0.450639 0.496481 0.523766 0.531962 0.521225 0.492376 0.446856 0.38666 0.314253 0.232474 
9.5 -0.309017 -0.476278 -0.622826 -0.743983 -0.836076 -0.896543 -0.923996 -0.918243 -0.880267 -0.812163 -0.717039 -0.598881 -0.462396 -0.312822 -0.155739 0.00314231 0.15818 0.304002 0.435684 0.54892 0.640135 0.706532 0.746073 0.757444 0.740102 0.694423 0.621911 0.525364 0.408907 0.277826 0.138236 -0.00336257 -0.140554 -0.267418 -0.378858 -0.470798 -0.540287 -0.585515 -0.605767 -0.60134 -0.573436 -0.524053 -0.455856 -0.372049 -0.27625 -0.17235 -0.0643802 0.0436269 0.147768 0.244394 0.330232 0.402476 0.458879 0.497811 0.518301 0.520056 0.503448 0.469493 0.419793 0.356469 
