9.5 -0.309017 -0.615662 -0.852688 -0.991271 -1.01394 -0.916753 -0.709939 -0.416811 -0.0711583 0.286644 0.614349 0.872816 1.03069 1.06818 0.979559 0.773961 0.474479 0.115573 -0.260887 -0.610499 -2.57799 0.853155 -2.61352 0.0644802 -1.0106 -0.0127216 0.127631 0.592559 0.874135 1.09296 1.17351 1.11903 
10 -1.0718e-07 -0.339919 -0.643236 -0.873633 -1.00303 -1.01503 -0.906925 -0.69024 -0.389468 -0.0393273 0.319242 0.64386 0.895712 1.04419 1.07058 0.970457 0.754311 0.446495 0.0824804 -0.295223 -0.642027 -2.77159 1.21563 -2.99644 0.370572 -1.14871 0.100878 0.130306 0.638784 0.897671 1.11248 1.17962 
10.5 0.309017 -0.0309018 -0.37082 -0.670478 -0.893949 -1.01394 -1.01514 -0.896104 -0.669654 -0.361449 -0.00711511 0.351877 0.673058 0.917977 1.05681 1.07196 0.960307 0.733712 0.417774 0.0489511 -0.329641 -0.673265 -2.98142 1.63533 -3.45962 0.753591 -1.33894 0.24486 0.118851 0.690778 0.91836 1.1319 
11 0.587785 0.28114 -0.062106 -0.401692 -0.697357 -0.913608 -1.02398 -1.01425 -0.88429 -0.64819 -0.332775 0.0254509 0.38452 0.701912 0.939584 1.06853 1.0723 0.949108 0.712172 0.388334 0.0150128 -0.364106 -0.704181 -3.20914 2.11978 -4.01756 1.23071 -1.59591 0.428936 0.0878427 0.751071 0.935089 
11.5 0.809017 0.565662 0.252688 -0.0935854 -0.432503 -0.723842 -0.932584 -1.03312 -1.01236 -0.871482 -0.625861 -0.303467 0.0583427 0.417138 0.730389 0.960504 1.07933 1.0716 0.936858 0.689704 0.358197 -0.0193056 -0.398586 -0.734741 -3.45658 2.67742 -4.68705 1.82248 -1.93775 0.665604 0.0300665 0.823172 
12 0.951056 0.794813 0.542747 0.223682 -0.125312 -0.463222 -0.749904 -0.950852 -1.04134 -1.00947 -0.857684 -0.602679 -0.273546 0.0915315 0.449698 0.758458 0.980708 1.08919 1.06984 0.92356 0.666318 0.327385 -0.0539746 -0.433047 -0.76491 -3.72575 3.31773 -5.48753 2.55348 -2.38687 0.970852 -0.0640121 
12.5 1 0.946162 0.779678 0.519054 0.194145 -0.157258 -0.493818 -0.775513 -0.968386 -1.04864 -1.00555 -0.842897 -0.578657 -0.243034 0.124988 0.482169 0.786087 1.00017 1.0981 1.06701 0.909215 0.642028 0.29592 -0.0889641 -0.467456 -0.794656 -4.01886 4.05139 -6.44142 3.45297 -2.97085 1.36502 
13 0.951057 1.00489 0.940289 0.763617 0.494597 0.1641 -0.189394 -0.52426 -0.800638 -0.985161 -1.05499 -1.00061 -0.827126 -0.55381 -0.211957 0.158683 0.514518 0.813244 1.01886 1.10602 1.06311 0.893826 0.616848 0.263827 -0.124243 -0.501777 -0.823943 -4.33835 4.89037 -7.5746 4.55573 -3.72351 
13.5 0.809017 0.965261 1.00886 0.933432 0.746635 0.469394 0.13357 -0.22169 -0.554518 -0.82525 -1.00115 -1.06037 -0.99463 -0.810376 -0.528154 -0.180337 0.192585 0.546711 0.839897 1.03676 1.11294 1.05813 0.877395 0.590794 0.231131 -0.159781 -0.535976 -0.85274 -4.68691 5.84809 -8.91687 5.90299 
14 0.587785 0.83114 0.978673 1.01188 0.925588 0.72874 0.443459 0.102581 -0.254117 -0.584558 -0.849319 -1.01634 -1.06477 -0.987616 -0.792652 -0.501704 -0.1482 0.226663 0.578716 0.866015 1.05383 1.11886 1.05206 0.859929 0.56388 0.197856 -0.195544 -0.57002 -0.881012 -5.0675 6.93965 -10.5025 
